Term/Year Code,College,Dept,Degree,Major code,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American
2005 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,6,2,4,0,6,0,0,0,0
2005 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,2,0,2,0,2,0,0,0,0
2005 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,73,54,19,0,66,2,0,1,0
2005 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,18,16,2,0,16,0,0,1,0
2005 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,31,10,21,0,28,2,0,0,0
2005 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,44,27,17,0,38,3,1,0,1
2005 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,12,6,6,0,11,1,0,0,0
2005 ,KL ,875 ,BS ,0063 ,Horticulture ,12,10,2,0,10,2,0,0,0
2005 ,KL ,875 ,BS ,0063 ,Horticulture ,54,34,20,0,49,0,0,3,0
2005 ,KL ,875 ,BS ,0063 ,Horticulture ,6,4,2,0,6,0,0,0,0
2005 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,56,25,31,0,43,3,1,0,0
2005 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,1,0,1,0,1,0,0,0,0
2005 ,KL ,875 ,NDEG ,0190 ,Natural Res & Env Sciences ,5,3,2,0,4,1,0,0,0
2005 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,32,20,12,0,16,2,0,0,0
2005 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,25,2,23,0,18,2,0,1,0
2005 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,28,8,20,0,13,1,1,2,0
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
2005 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,182,127,55,0,51,14,8,3,1
2005 ,KM ,260 ,BS ,0075 ,Finance ,7,4,3,0,5,0,0,0,0
2005 ,KM ,260 ,BS ,0075 ,Finance ,796,567,228,1,531,136,26,41,1
2005 ,KM ,260 ,MS ,0075 ,Finance ,2,1,1,0,0,0,0,0,0
2005 ,KM ,260 ,MS ,0075 ,Finance ,75,39,34,2,5,4,2,1,0
2005 ,KM ,260 ,PHD ,0075 ,Finance ,16,11,5,0,6,0,0,0,0
2005 ,KM ,346 ,BS ,0071 ,Accountancy ,848,482,365,1,516,129,40,48,2
2005 ,KM ,346 ,BS ,0071 ,Accountancy ,85,42,43,0,56,17,2,3,0
2005 ,KM ,346 ,MAS ,0071 ,Accountancy ,112,65,47,0,77,14,1,4,0
2005 ,KM ,346 ,MS ,0071 ,Accountancy ,36,18,18,0,20,14,0,2,0
2005 ,KM ,346 ,MS ,0071 ,Accountancy ,20,10,9,1,13,1,2,1,0
2005 ,KM ,346 ,MS ,0071 ,Accountancy ,80,30,50,0,5,6,0,0,0
2005 ,KM ,346 ,NDEG ,0071 ,Accountancy ,56,26,30,0,43,6,0,2,0
2005 ,KM ,346 ,PHD ,0071 ,Accountancy ,24,14,10,0,10,2,1,0,0
2005 ,KM ,902 ,BS ,0079 ,Business Administration ,453,179,274,0,304,54,23,40,1
2005 ,KM ,902 ,BS ,0079 ,Business Administration ,98,40,58,0,73,13,5,5,0
2005 ,KM ,902 ,BS ,0079 ,Business Administration ,2,1,1,0,1,0,0,0,0
2005 ,KM ,902 ,BS ,0079 ,Business Administration ,62,40,22,0,37,10,4,5,0
2005 ,KM ,902 ,BS ,0079 ,Business Administration ,28,21,7,0,18,4,0,1,0
2005 ,KM ,902 ,BS ,0079 ,Business Administration ,84,59,25,0,48,14,8,6,0
2005 ,KM ,902 ,BS ,0079 ,Business Administration ,114,86,28,0,70,12,18,4,0
2005 ,KM ,902 ,BS ,0079 ,Business Administration ,3,2,1,0,2,1,0,0,0
2005 ,KM ,902 ,MS ,0079 ,Business Administration ,14,10,4,0,0,0,0,0,0
2005 ,KM ,902 ,MS ,0079 ,Business Administration ,41,25,16,0,0,1,0,0,0
2005 ,KM ,902 ,PHD ,0079 ,Business Administration ,53,27,26,0,13,4,0,2,0
2005 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,56,44,12,0,39,6,4,2,1
2005 ,KM ,952 ,BS ,0074 ,Economics ,16,12,4,0,8,5,0,1,0
2005 ,KM ,952 ,NDEG ,0067 ,Nondegree ,34,18,16,0,1,0,0,0,0
2005 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,363,220,142,1,250,47,18,23,1
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
2005 ,KN ,335 ,BS ,0092 ,Education General ,1,1,0,0,1,0,0,0,0
2005 ,KN ,335 ,NDEG ,0067 ,Nondegree ,6,1,5,0,1,0,0,0,0
2005 ,KN ,335 ,NONE ,0092 ,Education General ,284,31,252,1,222,14,14,25,3
2005 ,KN ,570 ,BS ,0093 ,Special Education ,76,4,72,0,71,1,3,0,0
2005 ,KN ,570 ,CAS ,0093 ,Special Education ,1,0,1,0,1,0,0,0,0
2005 ,KN ,570 ,EDM ,0093 ,Special Education ,32,1,31,0,20,3,3,3,0
2005 ,KN ,570 ,MA ,0093 ,Special Education ,6,0,6,0,4,1,0,0,0
2005 ,KN ,570 ,MS ,0093 ,Special Education ,11,2,9,0,9,1,0,0,0
2005 ,KN ,570 ,PHD ,0093 ,Special Education ,31,8,23,0,16,1,1,0,0
2005 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,2,0,2,0,1,1,0,0,0
2005 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,1,0,1,0,0,0,0,1,0
2005 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3,0,3,0,3,0,0,0,0
2005 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,14,0,14,0,12,1,0,1,0
2005 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,7,1,6,0,7,0,0,0,0
2005 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,1,0,1,0,1,0,0,0,0
2005 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,18,1,17,0,15,1,0,0,0
2005 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3,0,3,0,3,0,0,0,0
2005 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,1,0,1,0,1,0,0,0,0
2005 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,8,0,8,0,3,2,0,2,1
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,3,1,2,0,3,0,0,0,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,1,1,0,0,1,0,0,0,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,1,0,1,0,0,1,0,0,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,4,0,4,0,4,0,0,0,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,5,3,2,0,4,1,0,0,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,19,3,16,0,18,1,0,0,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,58,1,57,0,48,1,7,2,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,94,6,88,0,71,17,2,4,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,1,0,1,0,1,0,0,0,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,41,2,39,0,36,1,2,0,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,16,1,15,0,14,1,1,0,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,4,0,4,0,4,0,0,0,0
2005 ,KN ,613 ,BS ,0095 ,Elementary Education ,55,2,53,0,46,2,1,5,0
2005 ,KN ,613 ,CAS ,0095 ,Elementary Education ,1,0,1,0,1,0,0,0,0
2005 ,KN ,613 ,EDD ,0095 ,Elementary Education ,1,0,1,0,1,0,0,0,0
2005 ,KN ,613 ,EDD ,0215 ,Secondary & Continuing Educ ,3,1,2,0,1,0,2,0,0
2005 ,KN ,613 ,EDM ,0094 ,Early Childhood Education ,2,0,2,0,2,0,0,0,0
2005 ,KN ,613 ,EDM ,0095 ,Elementary Education ,30,0,30,0,21,0,3,1,0
2005 ,KN ,613 ,EDM ,0095 ,Elementary Education ,15,4,11,0,11,2,2,0,0
2005 ,KN ,613 ,EDM ,0208 ,Education ,1,1,0,0,1,0,0,0,0
2005 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,9,3,6,0,5,0,1,0,0
2005 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,5,2,3,0,5,0,0,0,0
2005 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,7,5,2,0,6,0,0,0,0
2005 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,11,5,6,0,8,1,1,1,0
2005 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,7,5,2,0,6,0,0,1,0
2005 ,KN ,613 ,MA ,0095 ,Elementary Education ,10,0,10,0,1,2,0,0,0
2005 ,KN ,613 ,MS ,0095 ,Elementary Education ,6,2,4,0,3,0,0,1,0
2005 ,KN ,613 ,MS ,0215 ,Secondary & Continuing Educ ,3,2,1,0,1,1,1,0,0
2005 ,KN ,613 ,PHD ,0095 ,Elementary Education ,43,10,33,0,10,0,2,1,0
2005 ,KN ,613 ,PHD ,0215 ,Secondary & Continuing Educ ,67,25,42,0,19,2,5,1,0
2005 ,KN ,616 ,EDM ,0210 ,Educational Psychology ,1,0,1,0,0,0,0,0,0
2005 ,KN ,616 ,MA ,0210 ,Educational Psychology ,1,0,1,0,1,0,0,0,0
2005 ,KN ,616 ,NDEG ,0210 ,Educational Psychology ,2,0,2,0,2,0,0,0,0
2005 ,KN ,616 ,PHD ,0208 ,Education ,1,0,1,0,0,0,0,0,0
2005 ,KN ,616 ,PHD ,0210 ,Educational Psychology ,120,34,86,0,44,5,9,6,0
2005 ,KN ,640 ,EDD ,0220 ,Educational Policy Studies ,3,1,2,0,0,0,0,1,0
2005 ,KN ,640 ,EDM ,0220 ,Educational Policy Studies ,6,2,4,0,1,1,2,1,1
2005 ,KN ,640 ,MA ,0220 ,Educational Policy Studies ,36,13,23,0,10,3,9,9,2
2005 ,KN ,640 ,NDEG ,0220 ,Educational Policy Studies ,1,0,1,0,0,0,1,0,0
2005 ,KN ,640 ,PHD ,0220 ,Educational Policy Studies ,89,25,64,0,21,6,25,17,3
2005 ,KN ,674 ,CAS ,0208 ,Education ,1,0,1,0,1,0,0,0,0
2005 ,KN ,674 ,CAS ,0209 ,Ed Organization and Leadership ,7,1,6,0,7,0,0,0,0
2005 ,KN ,674 ,EDD ,0209 ,Ed Organization and Leadership ,46,18,28,0,36,0,6,2,0
2005 ,KN ,674 ,EDD ,0209 ,Ed Organization and Leadership ,2,1,1,0,1,0,0,1,0
2005 ,KN ,674 ,EDM ,0208 ,Education ,1,1,0,0,1,0,0,0,0
2005 ,KN ,674 ,EDM ,0209 ,Ed Organization and Leadership ,47,15,32,0,38,1,6,1,0
2005 ,KN ,674 ,MA ,0208 ,Education ,1,0,1,0,1,0,0,0,0
2005 ,KN ,674 ,MA ,0209 ,Ed Organization and Leadership ,3,0,3,0,3,0,0,0,0
2005 ,KN ,674 ,MS ,0209 ,Ed Organization and Leadership ,1,0,1,0,0,0,1,0,0
2005 ,KN ,674 ,PHD ,0209 ,Ed Organization and Leadership ,21,12,9,0,11,0,6,1,0
2005 ,KN ,760 ,EDD ,0208 ,Education ,1,0,1,0,1,0,0,0,0
2005 ,KN ,760 ,EDD ,0222 ,Educ Voc Tech ,9,5,4,0,4,0,1,0,0
2005 ,KN ,760 ,EDM ,0222 ,Educ Voc Tech ,26,4,22,0,14,0,6,0,0
2005 ,KN ,760 ,EDM ,0222 ,Educ Voc Tech ,1,0,1,0,0,0,1,0,0
2005 ,KN ,760 ,MA ,0222 ,Educ Voc Tech ,7,0,7,0,3,0,2,0,0
2005 ,KN ,760 ,MS ,0222 ,Educ Voc Tech ,5,1,4,0,3,0,0,0,0
2005 ,KN ,760 ,PHD ,0222 ,Educ Voc Tech ,47,22,25,0,16,0,5,1,0
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
2005 ,KP ,210 ,BS ,0118 ,Engineering Mechanics ,78,63,15,0,69,3,1,2,0
2005 ,KP ,210 ,MS ,0242 ,Theoretical & Applied Mechans ,9,7,2,0,8,0,0,0,0
2005 ,KP ,210 ,PHD ,0242 ,Theoretical & Applied Mechans ,58,51,7,0,15,2,0,0,0
2005 ,KP ,227 ,BS ,0102 ,Agricultural Engineering ,58,50,8,0,50,2,2,3,0
2005 ,KP ,227 ,MS ,0102 ,Agricultural Engineering ,12,9,3,0,10,0,0,0,0
2005 ,KP ,227 ,NDEG ,0067 ,Nondegree ,83,65,18,0,9,2,1,0,0
2005 ,KP ,227 ,PHD ,0102 ,Agricultural Engineering ,23,18,5,0,1,2,0,1,0
2005 ,KP ,244 ,BS ,0121 ,Engineering Physics ,101,87,14,0,83,9,1,3,0
2005 ,KP ,244 ,MS ,0240 ,Physics ,2,2,0,0,1,0,0,0,0
2005 ,KP ,244 ,NDEG ,0240 ,Physics ,1,1,0,0,1,0,0,0,0
2005 ,KP ,244 ,PHD ,0240 ,Physics ,293,255,38,0,145,16,2,4,0
2005 ,KP ,251 ,BS ,0106 ,Civil Engineering ,493,393,100,0,380,51,5,28,2
2005 ,KP ,251 ,MS ,0106 ,Civil Engineering ,151,120,31,0,85,8,4,8,1
2005 ,KP ,251 ,MS ,0231 ,Environ Engr in Civil Engr ,30,14,16,0,13,2,2,1,0
2005 ,KP ,251 ,MS ,0232 ,Environ Science in Civil Engr ,5,2,3,0,3,1,0,0,0
2005 ,KP ,251 ,NDEG ,0106 ,Civil Engineering ,1,0,1,0,0,0,0,0,0
2005 ,KP ,251 ,PHD ,0106 ,Civil Engineering ,150,128,22,0,20,6,1,1,0
2005 ,KP ,251 ,PHD ,0231 ,Environ Engr in Civil Engr ,31,19,12,0,10,1,0,0,0
2005 ,KP ,251 ,PHD ,0232 ,Environ Science in Civil Engr ,9,7,2,0,0,0,0,0,0
2005 ,KP ,343 ,BS ,0408 ,Bioengineering ,52,37,15,0,32,16,1,0,0
2005 ,KP ,343 ,MS ,0408 ,Bioengineering ,2,1,1,0,1,0,0,0,0
2005 ,KP ,343 ,PHD ,0408 ,Bioengineering ,6,2,4,0,4,0,0,0,0
2005 ,KP ,422 ,BS ,0124 ,General Engineering ,601,489,112,0,464,77,12,27,1
2005 ,KP ,422 ,MS ,0124 ,General Engineering ,23,20,3,0,9,2,1,1,0
2005 ,KP ,422 ,MS ,3846 ,Systems & Entrepreneurial Engr ,4,2,2,0,0,1,0,0,0
2005 ,KP ,422 ,PHD ,3846 ,Systems & Entrepreneurial Engr ,23,22,1,0,7,0,1,0,0
2005 ,KP ,434 ,BS ,0112 ,Computer Science ,644,583,59,2,420,132,9,27,2
2005 ,KP ,434 ,BS ,0112 ,Computer Science ,6,6,0,0,1,4,0,0,0
2005 ,KP ,434 ,MCS ,0112 ,Computer Science ,11,8,3,0,6,0,1,1,0
2005 ,KP ,434 ,MS ,0112 ,Computer Science ,54,51,3,0,21,9,0,1,0
2005 ,KP ,434 ,MS ,0112 ,Computer Science ,10,9,1,0,6,1,0,0,0
2005 ,KP ,434 ,NDEG ,0112 ,Computer Science ,3,3,0,0,0,0,0,0,0
2005 ,KP ,434 ,PHD ,0112 ,Computer Science ,336,283,53,0,85,31,2,2,0
2005 ,KP ,615 ,BS ,4048 ,Aerospace Engineering ,349,297,52,0,264,45,4,12,1
2005 ,KP ,615 ,MS ,0099 ,Aero & Astro Engineering ,25,24,1,0,20,1,1,0,0
