Term/Year Code,College,Dept,Degree,Major code,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American
,,,,,,,,,,,,,,
2010 ,KL ,306 ,MS ,5186 ,Bioenergy ,12,10,2,0,8,1,0,0,0
2010 ,KL ,306 ,MS ,5188 ,Agricultural Production ,7,3,4,0,6,0,0,1,0
2010 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,70,35,35,0,41,8,8,5,0
2010 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,52,35,17,0,42,3,0,1,0
2010 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,29,27,2,0,29,0,0,0,0
2010 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,133,97,36,0,116,6,5,1,0
2010 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,80,57,23,0,66,4,1,4,0
2010 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,29,22,7,0,18,2,0,3,0
2010 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,39,24,15,0,23,8,1,3,0
2010 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,46,22,24,0,26,6,4,7,0
2010 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,54,37,17,0,32,1,3,2,0
2010 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,32,18,14,0,16,2,0,0,0
2010 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,48,28,20,0,9,1,3,0,0
2010 ,KL ,483 ,NDEG ,0067 ,Nondegree ,75,36,39,0,47,0,1,2,0
2010 ,KL ,538 ,BS ,0002 ,Animal Sciences ,14,5,9,0,13,0,1,0,0
2010 ,KL ,538 ,BS ,0002 ,Animal Sciences ,70,13,57,0,57,2,4,5,0
2010 ,KL ,538 ,BS ,0002 ,Animal Sciences ,18,6,12,0,18,0,0,0,0
2010 ,KL ,538 ,BS ,0002 ,Animal Sciences ,207,39,168,0,168,14,6,13,1
2010 ,KL ,538 ,BS ,0002 ,Animal Sciences ,7,2,5,0,6,0,0,1,0
2010 ,KL ,538 ,BS ,0002 ,Animal Sciences ,44,6,38,0,39,0,5,0,0
2010 ,KL ,538 ,BS ,0002 ,Animal Sciences ,130,26,103,1,96,4,3,20,0
2010 ,KL ,538 ,MS ,0002 ,Animal Sciences ,54,23,31,0,39,1,1,1,0
2010 ,KL ,538 ,MS ,4026 ,Bioinformatics ,4,4,0,0,0,0,0,0,0
2010 ,KL ,538 ,NONE ,0002 ,Animal Sciences ,1,0,1,0,1,0,0,0,0
2010 ,KL ,538 ,NONE ,0002 ,Animal Sciences ,1,0,1,0,1,0,0,0,0
2010 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,54,33,21,0,23,0,0,1,0
2010 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,107,29,78,0,60,14,4,4,0
2010 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,26,12,14,0,17,0,1,3,0
