,Term/Year Code,College,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American,Unknown,International
185,2005,KN ,Early Childhood Education ,60.0,2.0,58.0,0.0,48.0,5.0,0.0,4.0,1.0,0.0,2.0
186,2010,KN ,Early Childhood Education ,44.0,0.0,44.0,0.0,28.0,5.0,6.0,3.0,0.0,0.0,2.0
187,2015,KN ,Early Childhood Education ,62.0,2.0,60.0,0.0,37.0,8.0,5.0,9.0,0.0,0.0,3.0
188,2010,KV ,"Earth Systems, Env, & Society ",158.0,85.0,73.0,0.0,115.0,11.0,5.0,13.0,1.0,0.0,13.0
189,2015,KV ,"Earth, Soc, Env Sustainability ",152.0,70.0,82.0,0.0,96.0,11.0,7.0,16.0,2.0,0.0,20.0
190,2015,KV ,East Asian Studies ,18.0,9.0,9.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,10.0
191,2010,KV ,"Ecol, Evol, Conservation Biol ",22.0,10.0,12.0,0.0,16.0,2.0,0.0,1.0,0.0,0.0,3.0
192,2015,KV ,"Ecol, Evol, Conservation Biol ",34.0,14.0,20.0,0.0,23.0,1.0,2.0,3.0,1.0,0.0,4.0
193,2005,KM ,Economics ,16.0,12.0,4.0,0.0,8.0,5.0,0.0,1.0,0.0,0.0,2.0
194,2005,KV ,Economics ,861.0,652.0,209.0,0.0,410.0,139.0,27.0,37.0,1.0,0.0,247.0
195,2010,KV ,Economics ,906.0,640.0,266.0,0.0,289.0,122.0,8.0,19.0,2.0,0.0,466.0
196,2015,KV ,Economics ,1141.0,804.0,337.0,0.0,343.0,169.0,27.0,43.0,0.0,0.0,559.0
197,2005,KN ,Ed Organization and Leadership ,127.0,47.0,80.0,0.0,96.0,1.0,19.0,5.0,0.0,0.0,6.0
198,2010,KN ,Ed Organization and Leadership ,136.0,55.0,81.0,0.0,100.0,6.0,19.0,4.0,0.0,0.0,7.0
199,2015,KN ,Ed Organization and Leadership ,80.0,24.0,56.0,0.0,54.0,5.0,7.0,4.0,1.0,0.0,9.0
200,2015,KN ,"Educ Policy, Orgzn & Leadrshp ",95.0,33.0,62.0,0.0,54.0,1.0,22.0,7.0,0.0,0.0,11.0
201,2005,KN ,Educ Voc Tech ,95.0,32.0,63.0,0.0,40.0,0.0,15.0,1.0,0.0,0.0,39.0
202,2005,KN ,Education ,6.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
203,2005,KN ,Education General ,285.0,32.0,252.0,1.0,223.0,14.0,14.0,25.0,3.0,0.0,6.0
204,2005,KN ,Educational Policy Studies ,135.0,41.0,94.0,0.0,32.0,10.0,37.0,28.0,6.0,0.0,22.0
205,2010,KN ,Educational Policy Studies ,149.0,53.0,96.0,0.0,31.0,8.0,54.0,33.0,2.0,0.0,21.0
206,2015,KN ,Educational Policy Studies ,126.0,48.0,78.0,0.0,22.0,9.0,59.0,16.0,1.0,0.0,19.0
207,2005,KN ,Educational Psychology ,124.0,34.0,90.0,0.0,47.0,5.0,9.0,6.0,0.0,0.0,57.0
208,2010,KN ,Educational Psychology ,93.0,27.0,66.0,0.0,34.0,4.0,11.0,9.0,0.0,0.0,35.0
209,2015,KN ,Educational Psychology ,51.0,15.0,36.0,0.0,22.0,6.0,1.0,2.0,1.0,0.0,19.0
