,Term/Year Code,College,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American
0,2005 ,KL ,Agr & Consumer Economics ,83.0,49.0,34.0,0.0,25.0,3.0,1.0,0.0,0.0
1,2005 ,KL ,Agr & Environmental Cmc & Educ ,103.0,30.0,73.0,0.0,92.0,0.0,8.0,2.0,0.0
2,2005 ,KL ,Agr Engineering & Agr Science ,37.0,34.0,3.0,0.0,33.0,2.0,0.0,1.0,0.0
3,2005 ,KL ,"Agribusiness, Farm & Financial ",317.0,232.0,83.0,2.0,276.0,11.0,16.0,11.0,0.0
4,2005 ,KL ,Agricultural Economics ,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,2005 ,KL ,Agricultural Education ,7.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
6,2005 ,KL ,Animal Sciences ,598.0,163.0,435.0,0.0,510.0,24.0,11.0,22.0,0.0
7,2005 ,KL ,Consumer and Textile Marketing ,54.0,2.0,52.0,0.0,44.0,6.0,4.0,0.0,0.0
8,2005 ,KL ,Crop Sciences ,149.0,97.0,51.0,1.0,114.0,5.0,2.0,4.0,0.0
9,2005 ,KL ,Food Science & Human Nutrition ,440.0,109.0,331.0,0.0,313.0,57.0,18.0,13.0,0.0
10,2005 ,KL ,Forestry ,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,2005 ,KL ,Horticulture ,72.0,48.0,24.0,0.0,65.0,2.0,0.0,3.0,0.0
12,2005 ,KL ,Human & Community Development ,31.0,6.0,25.0,0.0,17.0,3.0,4.0,1.0,0.0
13,2005 ,KL ,Human Development & Family St ,216.0,13.0,202.0,1.0,177.0,12.0,13.0,10.0,0.0
14,2005 ,KL ,"Intl, Resource, Consumer Econ ",174.0,105.0,69.0,0.0,131.0,21.0,8.0,9.0,0.0
15,2005 ,KL ,Natural Res & Env Sciences ,94.0,48.0,46.0,0.0,64.0,6.0,1.0,0.0,0.0
