Term/Year Code,College,Dept,Degree,Major code,Major Name,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American
2015 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,52,34,18,0,38,4,2,1,0
2015 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,4,1,3,0,4,0,0,0,0
2015 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,73,33,40,0,39,3,4,11,0
2015 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,74,42,32,0,42,3,2,7,0
2015 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,32,14,18,0,18,3,0,2,0
2015 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,55,31,24,0,45,1,1,2,0
2015 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,2,0,2,0,2,0,0,0,0
2015 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,26,15,11,0,20,0,1,0,0
2015 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,18,3,15,0,12,2,0,3,0
2015 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,27,10,17,0,11,6,1,2,0
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
2015 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,154,112,42,0,52,22,4,6,0
2015 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,104,71,33,0,58,10,13,7,0
2015 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,1,1,0,0,0,0,0,0,0
2015 ,KM ,260 ,BS ,0075 ,Finance ,550,382,168,0,324,84,15,34,0
2015 ,KM ,260 ,MS ,0075 ,Finance ,1,1,0,0,1,0,0,0,0
2015 ,KM ,260 ,MS ,0075 ,Finance ,136,59,77,0,2,1,0,0,0
2015 ,KM ,260 ,PHD ,0075 ,Finance ,18,13,5,0,0,1,0,0,0
2015 ,KM ,346 ,BS ,0071 ,Accountancy ,945,495,450,0,361,169,24,55,0
2015 ,KM ,346 ,MAS ,0071 ,Accountancy ,304,152,152,0,144,33,4,6,0
2015 ,KM ,346 ,MAS ,0071 ,Accountancy ,2,1,1,0,0,1,0,0,0
2015 ,KM ,346 ,MAS ,0071 ,Accountancy ,1,0,1,0,0,0,0,0,0
2015 ,KM ,346 ,MS ,0071 ,Accountancy ,143,22,121,0,7,2,0,0,0
2015 ,KM ,346 ,MS ,5187 ,Taxation ,24,7,17,0,10,4,3,0,0
2015 ,KM ,346 ,NDEG ,0071 ,Accountancy ,5,3,2,0,1,0,1,1,0
2015 ,KM ,346 ,PHD ,0071 ,Accountancy ,22,14,8,0,13,0,0,1,0
2015 ,KM ,902 ,BS ,1432 ,Marketing ,107,47,60,0,67,14,7,8,0
2015 ,KM ,902 ,BS ,1432 ,Marketing ,114,44,70,0,68,16,5,18,0
2015 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,24,15,9,0,8,14,1,1,0
2015 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,23,13,10,0,12,8,1,0,0
2015 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,13,6,7,0,6,4,0,0,0
2015 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,79,32,47,0,59,10,0,3,0
2015 ,KM ,902 ,BS ,5072 ,Business Process Management ,14,8,6,0,10,1,2,0,0
2015 ,KM ,902 ,BS ,5072 ,Business Process Management ,22,12,10,0,7,2,3,8,0
2015 ,KM ,902 ,BS ,5073 ,Management ,19,9,10,0,7,4,4,1,0
2015 ,KM ,902 ,BS ,5073 ,Management ,3,1,2,0,1,0,0,1,0
2015 ,KM ,902 ,BS ,5073 ,Management ,14,2,12,0,7,2,1,3,0
2015 ,KM ,902 ,BS ,5073 ,Management ,19,3,16,0,10,3,2,1,0
2015 ,KM ,902 ,BS ,5073 ,Management ,33,18,15,0,22,5,3,1,0
2015 ,KM ,902 ,BS ,5073 ,Management ,12,5,7,0,8,1,0,2,0
2015 ,KM ,902 ,MS ,0079 ,Business Administration ,45,12,33,0,0,0,1,0,0
2015 ,KM ,902 ,MS ,0079 ,Business Administration ,4,2,2,0,1,0,0,0,0
2015 ,KM ,902 ,MS ,5148 ,Technology Management ,137,78,59,0,19,10,1,0,0
2015 ,KM ,902 ,MS ,5148 ,Technology Management ,1,1,0,0,1,0,0,0,0
2015 ,KM ,902 ,PHD ,0079 ,Business Administration ,40,24,16,0,3,1,3,1,0
2015 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,29,19,10,0,13,6,2,0,1
2015 ,KM ,952 ,NDEG ,0067 ,Nondegree ,78,45,33,0,0,0,1,0,0
2015 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,1026,564,462,0,493,202,44,99,1
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
2015 ,KN ,335 ,BS ,5391 ,Learning and Education Studies ,9,1,8,0,3,1,1,1,0
2015 ,KN ,335 ,BS ,5391 ,Learning and Education Studies ,5,2,3,0,2,1,1,0,0
2015 ,KN ,335 ,BS ,5391 ,Learning and Education Studies ,5,1,4,0,2,0,3,0,0
2015 ,KN ,335 ,BS ,5391 ,Learning and Education Studies ,7,1,6,0,5,0,1,1,0
2015 ,KN ,335 ,BS ,5391 ,Learning and Education Studies ,1,0,1,0,0,0,1,0,0
2015 ,KN ,335 ,NDEG ,0067 ,Nondegree ,6,1,5,0,4,0,0,1,0
2015 ,KN ,335 ,NONE ,4089 ,Pre-Early Chld/Elem Ed/Spec Ed ,22,3,19,0,12,3,3,3,0
2015 ,KN ,570 ,BS ,0093 ,Special Education ,125,10,115,0,106,3,1,12,0
2015 ,KN ,570 ,EDM ,0093 ,Special Education ,19,2,17,0,11,1,2,3,0
2015 ,KN ,570 ,MS ,0093 ,Special Education ,5,2,3,0,2,2,0,1,0
2015 ,KN ,570 ,PHD ,0093 ,Special Education ,23,3,20,0,13,1,3,1,0
2015 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,24,2,22,0,9,6,3,4,0
2015 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,1,0,1,0,1,0,0,0,0
2015 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,1,0,1,0,1,0,0,0,0
2015 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,1,0,1,0,1,0,0,0,0
2015 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,6,0,6,0,5,0,1,0,0
2015 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,2,0,2,0,2,0,0,0,0
2015 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,5,0,5,0,3,1,0,0,0
2015 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,11,0,11,0,10,0,1,0,0
2015 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3,0,3,0,3,0,0,0,0
2015 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,6,0,6,0,1,0,0,5,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,159,7,152,0,113,18,5,19,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,1,0,1,0,1,0,0,0,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,2,0,2,0,1,1,0,0,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,6,1,5,0,3,1,1,1,0
